DATE,District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9,District 10,District 11,District 12,USPHCI
4/1/1979,46.36,56.06,58.01,62.39,45.99,43.72,62.04,57.22,51.00,50.12,40.48,40.51,46.14
5/1/1979,46.59,56.19,58.16,62.51,46.13,43.86,62.17,57.30,51.16,50.27,40.64,40.67,46.37
6/1/1979,46.80,56.29,58.29,62.59,46.23,43.97,62.20,57.33,51.26,50.36,40.79,40.85,46.50
7/1/1979,46.90,56.28,58.31,62.52,46.33,44.00,62.11,57.24,51.27,50.43,40.95,41.00,46.62
8/1/1979,47.11,56.35,58.30,62.51,46.36,44.14,61.91,57.20,51.27,50.51,41.11,41.08,46.68
9/1/1979,47.21,56.36,58.33,62.49,46.43,44.24,61.64,57.10,51.23,50.54,41.24,41.18,46.78
10/1/1979,47.31,56.40,58.40,62.52,46.50,44.45,61.38,57.00,51.23,50.67,41.46,41.29,46.87
11/1/1979,47.43,56.52,58.51,62.54,46.57,44.62,61.11,56.94,51.12,50.78,41.64,41.45,46.99
12/1/1979,47.54,56.72,58.62,62.49,46.63,44.70,60.88,56.83,50.96,50.82,41.75,41.54,47.05
1/1/1980,47.63,56.85,58.61,62.33,46.69,44.79,60.53,56.69,50.81,50.85,41.90,41.55,47.09
2/1/1980,47.70,56.96,58.51,62.01,46.60,44.88,60.02,56.40,50.61,50.82,41.93,41.58,47.19
3/1/1980,47.52,56.88,58.32,61.49,46.41,44.82,59.35,56.03,50.31,50.61,42.00,41.50,47.26
4/1/1980,47.39,56.66,57.90,60.77,46.22,44.74,58.54,55.57,49.97,50.39,42.13,41.36,47.16
5/1/1980,47.18,56.64,57.56,60.07,46.06,44.68,57.81,55.18,49.66,50.17,42.18,41.25,47.02
6/1/1980,46.96,56.55,57.17,59.44,45.81,44.61,57.18,54.76,49.36,49.83,42.27,41.13,46.92
7/1/1980,46.95,56.59,56.90,59.01,45.70,44.66,56.84,54.51,49.22,49.70,42.45,41.09,46.82
8/1/1980,47.05,56.66,56.94,58.94,45.79,44.74,56.80,54.50,49.20,49.75,42.60,41.17,46.90
9/1/1980,47.18,56.75,56.96,59.06,45.94,44.86,56.91,54.55,49.36,49.93,42.78,41.32,46.99
10/1/1980,47.45,56.98,57.38,59.29,46.09,44.98,57.20,54.69,49.55,50.14,42.98,41.48,47.11
11/1/1980,47.61,57.08,57.54,59.51,46.21,45.06,57.46,54.83,49.80,50.37,43.20,41.65,47.23
12/1/1980,47.75,57.18,57.84,59.68,46.38,45.16,57.71,54.97,50.04,50.59,43.35,41.79,47.42
1/1/1981,47.91,57.19,57.96,59.75,46.43,45.23,57.90,55.12,50.21,50.85,43.54,41.92,47.47
2/1/1981,47.95,57.29,58.09,59.83,46.50,45.26,58.02,55.23,50.29,51.08,43.73,42.00,47.62
3/1/1981,48.05,57.37,58.19,59.98,46.55,45.32,58.24,55.32,50.53,51.22,43.91,42.08,47.70
4/1/1981,48.10,57.51,58.16,60.01,46.57,45.40,58.45,55.43,50.67,51.45,44.10,42.20,47.83
5/1/1981,48.20,57.66,58.21,60.06,46.64,45.44,58.58,55.52,50.82,51.65,44.27,42.33,47.83
6/1/1981,48.21,57.85,58.36,60.15,46.69,45.50,58.72,55.60,50.89,51.80,44.49,42.37,47.97
7/1/1981,48.22,58.00,58.48,60.06,46.70,45.53,58.66,55.55,50.96,51.97,44.71,42.39,48.11
8/1/1981,48.11,58.08,58.38,59.82,46.69,45.49,58.55,55.51,50.89,52.05,44.89,42.39,48.12
9/1/1981,48.06,58.15,58.15,59.48,46.63,45.47,58.26,55.41,50.73,52.04,45.01,42.25,48.14
10/1/1981,47.90,58.00,57.94,59.07,46.40,45.38,57.97,55.19,50.51,51.97,45.19,42.10,48.09
11/1/1981,47.71,57.92,57.57,58.58,46.24,45.24,57.45,54.90,50.28,51.85,45.30,41.91,48.02
12/1/1981,47.53,57.73,57.24,58.19,46.05,45.13,57.01,54.66,50.07,51.78,45.41,41.76,47.96
